LOCATION;INDICATOR;SUBJECT;MEASURE;FREQUENCY;TIME;Value
BEL;GDPLTFORECAST;TOT;MLN_USD;A;2029;572575
BEL;GDPLTFORECAST;TOT;MLN_USD;A;2030;584174.2
BEL;GDPLTFORECAST;TOT;MLN_USD;A;2031;596438.7
BEL;GDPLTFORECAST;TOT;MLN_USD;A;2032;609253.3
BEL;GDPLTFORECAST;TOT;MLN_USD;A;2033;622550.9
BEL;GDPLTFORECAST;TOT;MLN_USD;A;2034;636268.3
BEL;GDPLTFORECAST;TOT;MLN_USD;A;2035;650353.9
BEL;GDPLTFORECAST;TOT;MLN_USD;A;2036;664772
BEL;GDPLTFORECAST;TOT;MLN_USD;A;2037;679578.1
BEL;GDPLTFORECAST;TOT;MLN_USD;A;2038;694772.4
BEL;GDPLTFORECAST;TOT;MLN_USD;A;2039;710370.5
BEL;GDPLTFORECAST;TOT;MLN_USD;A;2040;726402.8
BEL;GDPLTFORECAST;TOT;MLN_USD;A;2041;742909.1
BEL;GDPLTFORECAST;TOT;MLN_USD;A;2042;759846
BEL;GDPLTFORECAST;TOT;MLN_USD;A;2043;777240.2
BEL;GDPLTFORECAST;TOT;MLN_USD;A;2044;795104.4
BEL;GDPLTFORECAST;TOT;MLN_USD;A;2045;813439.6
BEL;GDPLTFORECAST;TOT;MLN_USD;A;2046;832243
BEL;GDPLTFORECAST;TOT;MLN_USD;A;2047;851512.9
BEL;GDPLTFORECAST;TOT;MLN_USD;A;2048;871253.3
BEL;GDPLTFORECAST;TOT;MLN_USD;A;2049;891469.2
BEL;GDPLTFORECAST;TOT;MLN_USD;A;2050;912166.9
BEL;GDPLTFORECAST;TOT;MLN_USD;A;2051;933357.1
BEL;GDPLTFORECAST;TOT;MLN_USD;A;2052;955062.6
BEL;GDPLTFORECAST;TOT;MLN_USD;A;2053;977320.3
BEL;GDPLTFORECAST;TOT;MLN_USD;A;2054;1000169
BEL;GDPLTFORECAST;TOT;MLN_USD;A;2055;1023642
BEL;GDPLTFORECAST;TOT;MLN_USD;A;2056;1047764
BEL;GDPLTFORECAST;TOT;MLN_USD;A;2057;1072440
BEL;GDPLTFORECAST;TOT;MLN_USD;A;2058;1097692
BEL;GDPLTFORECAST;TOT;MLN_USD;A;2059;1123530
BEL;GDPLTFORECAST;TOT;MLN_USD;A;2060;1149950
CAN;GDPLTFORECAST;TOT;MLN_USD;A;2016;1542066.259
CAN;GDPLTFORECAST;TOT;MLN_USD;A;2017;1588338.693
CAN;GDPLTFORECAST;TOT;MLN_USD;A;2018;1621635.539
CAN;GDPLTFORECAST;TOT;MLN_USD;A;2019;1657928.894
CAN;GDPLTFORECAST;TOT;MLN_USD;A;2020;1684775
CAN;GDPLTFORECAST;TOT;MLN_USD;A;2021;1710503
CAN;GDPLTFORECAST;TOT;MLN_USD;A;2022;1736864
CAN;GDPLTFORECAST;TOT;MLN_USD;A;2023;1764255
CAN;GDPLTFORECAST;TOT;MLN_USD;A;2024;1792774
CAN;GDPLTFORECAST;TOT;MLN_USD;A;2025;1822387
CAN;GDPLTFORECAST;TOT;MLN_USD;A;2026;1852965
CAN;GDPLTFORECAST;TOT;MLN_USD;A;2027;1884677
CAN;GDPLTFORECAST;TOT;MLN_USD;A;2028;1917532
