Year,GDP per capita,Entity,Code,Population,Entity_y,Code_y,Primary energy (TWh),Energy(PJ)-Time(Year),Primary energy (PJ),GDP(2011$)-Time(year),Energy(PJ)-GDP(10e13$),EI(PJ/$)-Time(year)
1955,17370.0,United States,USA,171684992,United States,USA,39031.00542,44383.72456635279,39031.00542,3018473121491.3604,43002.215658107816,1.3929631922479247e-08
1960,18057.0,United States,USA,186720992,United States,USA,43766.213472,49677.380093047344,43766.213472,3524542460016.3887,47168.504483781675,1.3229706730745333e-08
1965,21390.0,United States,USA,199734000,United States,USA,52433.838,55602.41095178306,52433.838,4115458065209.0283,55746.539085409204,1.2529781539011418e-08
1966,22529.0,United States,USA,201896000,United States,USA,55383.084,56869.657295250734,55383.084,4245034924041.3447,58104.48208750093,1.2389796500664646e-08
1967,22842.0,United States,USA,203904992,United States,USA,57311.82000000001,58242.28056223804,57311.82000000001,4378691562591.6924,59002.78884749495,1.2249811462317877e-08
1968,23691.0,United States,USA,205806000,United States,USA,60799.14360000001,60608.06755527684,60799.14360000001,4516556434371.737,60745.11088052322,1.2109826423971105e-08
1969,24195.0,United States,USA,207659008,United States,USA,64049.662800000006,62973.85454831564,64049.662800000006,4658762037303.792,61891.29398671368,1.1969841385624334e-08
1970,23958.0,United States,USA,209512992,United States,USA,66215.5596,65339.64154135513,66215.5596,4805445041060.85,61854.78112590105,1.1829856347277564e-08
1971,24394.0,United States,USA,211384000,United States,USA,67591.998,67705.42853439393,67591.998,4956746418415.637,62884.437050571396,1.168987130893079e-08
1972,25414.0,United States,USA,213270000,United States,USA,71064.3888,70071.21552743342,71064.3888,5112811580725.585,64791.35465425273,1.1549886270584019e-08
1973,26602.0,United States,USA,215179008,United States,USA,73984.9356,72437.00252047222,73984.9356,5273790517683.385,66875.5431993331,1.140990123223725e-08
1974,26286.0,United States,USA,217115008,United States,USA,72121.0032,74802.78951351171,72121.0032,5439837941467.875,66761.53590038304,1.1269916193890418e-08
1975,25956.0,United States,USA,219080992,United States,USA,70361.6616,77168.57650655051,70361.6616,5611113435433.2,66623.62057292736,1.1129931155543648e-08
1976,27058.0,United States,USA,221086000,United States,USA,74193.7968,79534.36349958931,74193.7968,5787781607479.879,68549.52178135775,1.0989946117196877e-08
1977,28001.0,United States,USA,223136000,United States,USA,76144.194,80646.51360586914,76144.194,5970012248254.596,70188.91522013223,1.0849961078850107e-08
1978,29286.0,United States,USA,225223008,United States,USA,76489.13160000001,79999.0498169036,76489.13160000001,6157980494331.231,72207.78110690962,1.0709976040503336e-08
1979,29949.0,United States,USA,227339008,United States,USA,77391.21960000001,79351.58602793788,77391.21960000001,6351866996529.276,73374.98531225794,1.0569991002156564e-08
1980,29611.0,United States,USA,229476000,United States,USA,74582.97839999999,78704.12223897234,74582.97839999999,6551858093532.257,73302.03920730669,1.0430005963809794e-08
1981,30056.0,United States,USA,231636000,United States,USA,72395.388,78056.65845000662,72395.388,6758145990972.339,74186.72021177466,1.0290020925463021e-08
1982,29210.0,United States,USA,233822000,United States,USA,69377.6808,77409.1946610411,69377.6808,6970928946153.764,73489.49538598591,1.0150035887116251e-08
1983,30158.0,United States,USA,236030000,United States,USA,69070.63680000001,76761.73087207538,69070.63680000001,7190411458591.899,74987.05585418532,1.0010050848769422e-08
1984,32076.0,United States,USA,238256992,United States,USA,72744.6744,76114.26708310984,72744.6744,7416804466551.977,77493.90164298892,9.87006581042265e-09
1985,33023.0,United States,USA,240500000,United States,USA,72564.1704,75821.83925886158,72564.1704,7650325549775.615,78809.32870865948,9.730080772075879e-09
1986,33850.0,United States,USA,242763008,United States,USA,73004.6916,77179.22055169857,73004.6916,7891199138590.614,79947.26128847823,9.590095733729108e-09
1987,34730.0,United States,USA,245052992,United States,USA,75475.1196,78536.60184453521,75475.1196,8139656729604.098,81086.71324230959,9.450110695382336e-09
1988,35863.0,United States,USA,247372000,United States,USA,78930.15479999999,79893.98313737218,78930.15479999999,8395937108187.387,82393.05813641794,9.310125657035566e-09
1989,36756.0,United States,USA,249726000,United States,USA,80810.244,81251.36443020917,80810.244,8660286577965.568,83426.87823579788,9.170140618688795e-09
1990,36982.0,United States,USA,252120000,United States,USA,80993.3688,82608.74572304614,80993.3688,8932959197532.996,83890.23131236676,9.030155580342025e-09
1991,36463.96,United States,USA,254539008,United States,USA,80880.03720000002,83966.12701588313,80880.03720000002,9214217024621.262,83756.27562466975,8.890170541995252e-09
1992,37240.3,United States,USA,256991008,United States,USA,82092.1608,85323.5083087201,82092.1608,9504330367955.438,84643.96227802824,8.750185503648423e-09
1993,37761.54,United States,USA,259532000,United States,USA,83805.82560000001,86680.8896015571,83805.82560000001,9803578047040.148,85309.44317915865,8.610200465301653e-09
1994,38807.28,United States,USA,262240992,United States,USA,85365.918,88038.27089439408,85365.918,10112247660124.492,86324.96880701429,8.470215426954881e-09
1995,39390.63,United States,USA,265164000,United States,USA,87200.262,89395.6521872307,87200.262,10430635860604.629,86994.54886973728,8.33023038860811e-09
1996,40412.75,United States,USA,268335008,United States,USA,90127.5624,90753.0334800677,90127.5624,10759048642128.594,87913.73252500777,8.190245350261338e-09
1997,41722.67,United States,USA,271713984,United States,USA,90812.304,92110.41477290467,90812.304,11097801632678.219,88927.99153537372,8.050260311914567e-09
1998,43072.76,United States,USA,275175008,United States,USA,91408.8312,93467.79606574166,91408.8312,11447220397909.53,89859.86588748301,7.910275273567797e-09
1999,44575.85,United States,USA,278548000,United States,USA,93026.898,94825.17735857863,93026.898,11807640754044.781,90739.20753806671,7.770290235221026e-09
2000,45886.47,United States,USA,281711008,United States,USA,95138.8668,96182.55865141562,95138.8668,12179409090615.475,91420.78405906448,7.630305196874196e-09
2001,45878.01,United States,USA,284608000,United States,USA,92894.598,97539.9399442526,92894.598,12562882703367.63,91578.9970750627,7.490320158527425e-09
2002,46266.3,United States,USA,287279008,United States,USA,94239.09360000001,98897.32123708923,94239.09360000001,12958430137647.836,91847.12347932857,7.350335120180653e-09
2003,47158.0,United States,USA,289816000,United States,USA,94535.1072,100119.66012608452,94535.1072,13366431542601.805,92237.50643351953,7.2103500818338825e-09
2004,48492.72,United States,USA,292355008,United States,USA,96396.7896,99733.15620653861,96396.7896,13787279036524.492,92693.58596295997,7.070365043487112e-09
2005,49654.76,United States,USA,294993984,United States,USA,96437.3904,99346.65228699271,96437.3904,14221377083713.982,93045.527445994,6.930380005140341e-09
2006,50489.86,United States,USA,297759008,United States,USA,95658.4404,98960.14836744682,95658.4404,14669142883189.803,93288.7399935271,6.79039496679357e-09
2007,50901.74,United States,USA,300608000,United States,USA,96996.53520000001,98573.64444790084,96996.53520000001,15131006769651.154,93435.12305133055,6.650409928446798e-09
2008,50275.75,United States,USA,303486016,United States,USA,94600.7856,98187.14052835494,94600.7856,15381006769651.15,93412.53469228248,6.510424890100028e-09
2009,48452.93,United States,USA,306308000,United States,USA,89924.0904,97800.63660880904,89924.0904,15631006769651.137,93172.45404449532,6.3704398517531974e-09
2010,49266.92,United States,USA,309011008,United States,USA,92972.664,97414.13268926315,92972.664,15881006769651.123,93394.57220684712,6.230454813406427e-09
2011,49675.0,United States,USA,311584000,United States,USA,92088.4356,97027.62876971725,92088.4356,16131006769651.18,93522.18091656831,6.090469775059656e-09
2012,50394.0,United States,USA,314044000,United States,USA,89687.83679999999,96641.12485017134,89687.83679999999,16381006769651.166,93672.98252809286,5.950484736712884e-09
2013,50863.0,United States,USA,316400992,United States,USA,92095.55279999999,96254.62093062545,92095.55279999999,16631006769651.15,93770.92677688538,5.810499698366113e-09
2014,51664.0,United States,USA,318672992,United States,USA,93054.2436,95868.11701107955,93054.2436,16881006769651.137,93882.86354921313,5.6705146600193426e-09
2015,52591.0,United States,USA,320878016,United States,USA,92149.0776,95481.61309153357,92149.0776,17131006769651.123,93976.66680958177,5.530529621672572e-09
2016,53015.0,United States,USA,323016000,United States,USA,92017.872,95095.10917198767,92017.872,17381006769651.18,94019.06323884602,5.3905445833258004e-09
2017,54007.77,United States,USA,325084992,United States,USA,92330.6004,94708.60525244178,92330.6004,17631006769651.164,94068.61642413982,5.250559544979029e-09
2018,55334.74,United States,USA,327096000,United States,USA,95602.9968,94322.10133289588,95602.9968,17881006769651.152,94091.44232182155,5.1105745066321996e-09
