Year,GDP per capita,Entity,Code,Population,Entity_y,Code_y,Primary energy (TWh),Energy(PJ)-Time(Year),Primary energy (PJ),GDP(2011$)-Time(year),Energy(PJ)-GDP(10e12$),EI(PJ/$)-Time(year)
1923,3243.55,Japan,JPN,58047208,Japan,JPN,78.82464411,227.84971998503622,283.768718796,166557652580.54144,255.13471393845649,15555112.666053994
1924,3316.36,Japan,JPN,58819580,Japan,JPN,83.49529790000001,233.44615096747202,300.58307244,169859529007.42343,271.3284957942425,15908714.396476757
1925,3414.35,Japan,JPN,59672096,Japan,JPN,91.3402127,239.32442290606838,328.82476572,173294967482.70898,293.2327168426462,16262316.12689944
1926,3358.54,Japan,JPN,60588392,Japan,JPN,102.2496944,245.50637637592084,368.09889984,176872239240.4206,292.57475628266775,16615917.857322203
1927,3346.89,Japan,JPN,61536412,Japan,JPN,114.4621815,252.01616843130284,412.0638534,180600312871.4885,299.04376715245974,16969519.587744884
1928,3554.12,Japan,JPN,62456048,Japan,JPN,125.5052863,258.88058808711514,451.81903067999997,184488929399.85532,343.79923652377,17323121.31816765
1929,3665.09,Japan,JPN,63382024,Japan,JPN,130.2153008,266.1294248025362,468.77508288,188548687271.07162,375.20503917756884,17676723.048590336
1930,3334.11,Japan,JPN,64331716,Japan,JPN,112.3730112,273.795900654834,404.54284032,192791138814.6389,322.2864280803598,18030324.77901302
1931,3320.81,Japan,JPN,65315128,Japan,JPN,101.3122635,281.91717942749295,364.72414860000004,197228900028.85803,329.0963757910445,18383926.50943578
1932,3529.29,Japan,JPN,66309900,Japan,JPN,110.576291,290.53496907074987,398.0746476,201875775885.40878,380.65422682732515,18737528.239858463
1933,3786.8,Japan,JPN,67273280,Japan,JPN,138.8871348,299.6962381443418,499.9936852800001,206746903775.0244,450.5889877741928,19091129.970281225
1934,3755.69,Japan,JPN,68291424,Japan,JPN,158.73109730000002,309.45407222055906,571.43195028,211858918234.15384,456.8105480733712,19444731.700703908
1935,3825.3,Japan,JPN,69289528,Japan,JPN,187.3535897,319.86870322000567,674.47292292,217230140729.343,488.4925449683176,19798333.431126676
1936,3985.55,Japan,JPN,70354088,Japan,JPN,229.4362409,331.0087538390966,825.9704672400001,222880799062.00015,548.8639039213562,20151935.16154936
1937,4074.92,Japan,JPN,71235992,Japan,JPN,275.2086111,342.9527513983267,990.75099996,228833281931.05127,590.230208047085,20505536.89197212
