Year,GDP per capita,Entity,Code,Population,Entity_y,Code_y,Primary energy (TWh),Energy(PJ)-Time(Year),GDP(2011$)-Time(year),Energy(PJ)-GDP(10e12$),EI(PJ/$)-Time(year),Primary energy (PJ)
1839,2130.0,France,FRA,34700096,France,FRA,178.62718869999998,597.1304096451864,87899987015.91344,699.3330875900358,8.353304385897707e-09,643.05787932
1840,2276.0,France,FRA,34854476,France,FRA,178.62718869999998,601.4680511151066,88511915926.72644,749.8467636368966,8.31677669727175e-09,643.05787932
1841,2321.0,France,FRA,35005856,France,FRA,180.8388676,605.8691722174774,89132424636.42642,767.6834763355525,8.280255182259748e-09,651.01992336
1842,2260.0,France,FRA,35156808,France,FRA,184.00486999999998,610.335176722308,89761694863.79932,751.0147040663037,8.299760276461346e-09,662.4175319999999
1843,2370.0,France,FRA,35306380,France,FRA,187.1708725,614.8675100970481,90399913495.81839,790.1899308139004,8.319265370662938e-09,673.815141
1844,2444.0,France,FRA,35456428,France,FRA,190.33660890000002,619.4676610663913,91047272772.69284,817.7405936418775,8.338770464864536e-09,685.2117920400001
1845,2359.0,France,FRA,35606000,France,FRA,194.84935959999999,624.1371632426251,91703970480.92455,793.1383092525946,8.358275559066133e-09,701.4576945599999
1846,2356.0,France,FRA,35751712,France,FRA,200.0298974,628.8775968302776,92370210154.78018,795.3272866187439,8.377780653267725e-09,720.10763064
1847,2606.0,France,FRA,35891808,France,FRA,202.192623,633.6905904090411,93046201286.6101,881.0441248119291,8.397285747469324e-09,727.8934428
1848,2437.0,France,FRA,36026240,France,FRA,192.69488169999997,638.5778227991985,93732159546.47017,828.2652763053594,8.41679084167092e-09,693.7015741199999
1849,2506.0,France,FRA,36154952,France,FRA,194.66206,643.5410250140422,94428307011.53043,854.1331303238156,8.436295935872514e-09,700.783416
1850,2546.0,France,FRA,36277904,France,FRA,198.4609969,648.5819823040534,95134872405.78322,870.3016404250793,8.45580103007411e-09,714.45958884
1851,2499.0,France,FRA,36397736,France,FRA,205.8119757,653.7025362979158,95852091350.59412,857.3854573573639,8.475306124275708e-09,740.92311252
1852,2652.0,France,FRA,36516192,France,FRA,215.309717,658.9045872457536,96580206626.67229,911.3278196192454,8.494811218477304e-09,775.1149812
1853,2515.0,France,FRA,36636136,France,FRA,224.8074583,664.19009637034,97319468448.07239,868.2475726417185,8.514316312678898e-09,809.3068498800001
