Year,GDP per capita,Entity,Code,Population,Primary energy (PJ),Primary energy (TWh),Energy(PJ)-Time(Year),Energy(PJ)-GDP(10e12$),EI(PJ/$)-Time(year),GDP(2011$)-Time(year)
1912,6977.0,Canada,CAN,7597612,1221.609,393.3613539,1094.3132486218367,1107.5523397341076,240048235.2834416,50045432281.24073
1913,7088.0,Canada,CAN,7824176,1352.001,435.34792539999995,1109.7899759844693,1137.4282672506592,237988137.22101784,50896159348.695755
1914,6416.0,Canada,CAN,8019485,1354.8339999999998,436.260159,1125.71075410945,1088.6034853792053,235928039.15859476,51776309767.3084
1915,6747.0,Canada,CAN,8139354,1271.232,409.34009219999996,1142.094971878953,1130.8182989370994,233867941.096171,52687436858.2288
1916,7406.0,Canada,CAN,8200074,1273.288,410.0021296,1158.9631636328957,1201.9002403266265,231807843.03374794,53631205238.61788
1917,7653.0,Canada,CAN,8260456,1398.69,450.3819079,1176.3370950263022,1232.3960187203036,229747744.97132415,54609400971.45507
1918,7079.0,Canada,CAN,8371555,1452.402,467.677315,1194.2398567266846,1183.9317632333025,227687646.9089011,55623942846.73397
1919,6406.0,Canada,CAN,8544641,1400.975,451.117684,1212.6959667995734,1128.630898402636,225627548.8464773,56676894943.96522
1920,6154.0,Canada,CAN,8761911,1386.6170000000002,446.4943697,1231.7314827368346,1118.674496119759,223567450.78405425,57770480649.04694
1921,5351.0,Canada,CAN,8964896,1430.415,460.5974424,1251.3741242042013,1046.2622161230056,221507352.72163117,58907098325.80273
1922,6046.0,Canada,CAN,9117052,1360.9470000000001,438.22856129999997,1271.653407723996,1133.326029018699,219447254.6592074,60089338874.64639
1923,6338.0,Canada,CAN,9238644,1520.1879999999999,489.50458770000006,1292.600794669271,1175.272433510913,217387156.59678432,61320005448.920235
1924,6339.0,Canada,CAN,9368209,1474.746,474.8721426,1314.2498541299815,1185.4351816191454,215327058.53436056,62602135644.70786
1925,6918.0,Canada,CAN,9520032,1398.5379999999998,450.3329635,1336.6364424244782,1264.840979053318,213266960.4719375,63939026533.87509
1926,7168.0,Canada,CAN,9689795,1489.74,479.7002505,1359.7989012754351,1309.0902317740897,211206862.4095137,65334262974.6408
1927,7726.0,Canada,CAN,9875173,1575.386,507.2784908,1383.7782769541816,1393.4814386276123,209146764.34709066,66791749711.48681
1928,8244.0,Canada,CAN,10071846,1593.964,513.2606563,1408.6185630282682,1476.9191945520029,207086666.28466687,68315747869.641075
1929,8074.0,Canada,CAN,10265529,1648.277,530.7495871,1434.366969732411,1475.0777863596313,205026568.22224382,69910916562.42482
1930,7669.0,Canada,CAN,10448248,1656.805,533.4956258000001,1461.07422343281,1440.9065980201099,202966470.15982074,71582360467.13957
1931,6382.0,Canada,CAN,10610703,1570.658,505.7560622,1488.7949001815405,1287.6856313785001,200906372.09739697,73335684392.8393
1932,5852.0,Canada,CAN,10753889,1343.474,432.6022087,1517.5877979760633,1228.893382195711,198846274.0349739,75177056068.89304
1933,5372.0,Canada,CAN,10877806,1321.789,425.61958089999996,1547.5163530670147,1173.8173663369917,196786175.97255012,77113278636.45207
1934,5883.0,Canada,CAN,10991424,1449.4,466.710663,1578.6491065173905,1250.136084969697,194726077.91012707,79151874638.38927
1935,6298.0,Canada,CAN,11099063,1430.8210000000001,460.72817549999996,1611.0602282350658,1314.5767617460785,192665979.84770328,81301183693.33652
1936,6574.0,Canada,CAN,11202383,1520.362,489.56061619999997,1644.830106911663,1360.7292800870239,190605881.78528023,83570476527.49103
1937,7130.0,Canada,CAN,11307364,1621.6970000000001,522.1907562,1680.04601574517,1447.0260634659528,188545783.72285715,85970088652.0272
1938,7246.0,Canada,CAN,11415999,1540.463,496.0331916999999,1716.8028655525459,1473.0487598902848,186485685.66043338,88511577751.52417
1939,7600.0,Canada,CAN,11531278,1661.9820000000002,535.1626336,1755.2040589553974,1534.12704887439,184425587.5980103,91207909839.57674
1940,8557.0,Canada,CAN,11652870,1800.5929999999998,579.795745,1795.3624618263188,1684.728316413868,182365489.53558654,94073680508.68452
1941,9645.0,Canada,CAN,11785425,1938.29,624.134546,1837.4015112158002,1859.7460845680373,180305391.47316346,97125379243.49313
1942,11210.0,Canada,CAN,11927282,2075.986,668.473025,1881.4564826662493,2112.449422879076,178245293.4107397,100381706903.89836
1943,11577.0,Canada,CAN,12076780,2185.114,703.6125319,1927.6759443214235,2189.7727855146036,176185195.34831664,103863959289.29211
1944,11864.0,Canada,CAN,12221295,2206.535,710.510151,1976.2234307616657,2255.438644121067,174125097.28589356,107596493407.1442
