Year,GDP,Population,Primary energy (TWh),Entity,Code,Energy(PJ)-GDP(10e14$),GDPC(k$)-Time(year),GDP(2011$)-Time(year),Energy(PJ)-Time(Year),EI(PJ/$)-Time(year)
2002,66400000000000.0,6301772800,125579,World,OWID_WRL,457825.89750133094,10.955716561072748,64474513609022.21,4566.30139894699,6.865912639148704e-06
2003,68900000000000.0,6381185024,129501,World,OWID_WRL,467599.6891706907,11.23986371891803,67689229393553.77,4665.41985203159,6.762129793572491e-06
2004,72600000000000.0,6461158912,135012,World,OWID_WRL,481790.35259604914,11.524010876763313,70903945178083.92,4764.53830511619,6.658346947996279e-06
2005,76100000000000.0,6541906944,139050,World,OWID_WRL,494931.34005774494,11.808158034608596,74118660962615.48,4863.65675820079,6.5545641024201016e-06
2006,80200000000000.0,6623518208,142601,World,OWID_WRL,509999.9931410356,12.092305192453967,77333376747145.62,4962.77521128539,6.4507812568438895e-06
2007,84600000000000.0,6705947136,146574,World,OWID_WRL,525808.4876536849,12.37645235029925,80548092531677.19,5061.89366436999,6.3469984112676775e-06
2008,87000000000000.0,6789088768,148038,World,OWID_WRL,534282.7587604478,12.660599508144532,83762808316207.33,5161.012117454589,6.2432155656914646e-06
2009,86800000000000.0,6872766976,145881,World,OWID_WRL,533580.4274241382,12.944746665989904,86977524100738.89,5260.13057053919,6.139432720115287e-06
2010,91300000000000.0,6956824064,152249,World,OWID_WRL,548837.0705071563,13.228893823835186,90192239885269.03,5359.249023623789,6.035649874539075e-06
2011,95000000000000.0,7041193984,155559,World,OWID_WRL,557618.5735699522,13.513040981680469,93406955669800.6,5458.367476708389,5.931867028962862e-06
2012,98000000000000.0,7125828096,157293,World,OWID_WRL,564738.7111884352,13.79718813952584,96621671454330.73,5557.485929792989,5.82808418338665e-06
2013,101000000000000.0,7210582016,159957,World,OWID_WRL,571858.8488069182,14.081335297371123,99836387238862.3,5656.604382877589,5.724301337810438e-06
2014,105000000000000.0,7295290880,161069,World,OWID_WRL,581352.3656315622,14.365482455216405,103051103023392.44,5755.722835962189,5.620518492234261e-06
2015,108000000000000.0,7379796992,162024,World,OWID_WRL,588472.5032500454,14.649629613061688,106265818807924.0,5854.841289046789,5.516735646658049e-06
2016,111000000000000.0,7464022016,164081,World,OWID_WRL,595592.6408685284,14.933776770907059,109480534592454.14,5953.959742131388,5.412952801081837e-06
2017,115000000000000.0,7547858944,166824,World,OWID_WRL,605086.1576931723,15.217923928752342,112695250376985.72,6053.078195215989,5.309169955505624e-06
2018,118000000000000.0,7631091200,171240,World,OWID_WRL,612206.2953116554,15.502071086597624,115909966161515.86,6152.196648300588,5.205387109929412e-06
2019,121000000000000.0,7713467904,173340,World,OWID_WRL,619326.4329301385,15.786218244442995,119124681946047.42,6251.315101385188,5.1016042643532346e-06
