Year,Real GDP per capita ,Entity,Code,Population,Entity_y,Code_y,Primary energy (TWh),Energy(PJ)-Time(Year),GDP(2011$)-Time(year),Energy(PJ)-GDP(10e12$),EI(PJ/$)-Time(year),Primary energy (PJ)
1841,2643.4299,United Kingdom,GBR,20915358,United Kingdom,GBR,369.489881,1.6609358586463572,100608631875.69139,5550.092326061674,8.696488541080054e-08,1330.1635716
1842,2597.53,United Kingdom,GBR,21094172,United Kingdom,GBR,381.859681,1.6947762014996324,101273851137.88698,5475.070748062994,8.764531120887509e-08,1374.6948516000002
1843,2647.48,United Kingdom,GBR,21275564,United Kingdom,GBR,394.2294809,1.7293060163746514,101947925744.4264,5706.243265769071,8.832573700694937e-08,1419.22613124
1844,2818.3501,United Kingdom,GBR,21459924,United Kingdom,GBR,406.5992809,1.7645393507552238,102631033702.54668,6317.149824125135,8.900616280502391e-08,1463.75741124
1845,2912.6101,United Kingdom,GBR,21647964,United Kingdom,GBR,425.3456774,1.800490538332279,103323357822.6598,6684.228334336966,8.968658860309845e-08,1531.24443864
1846,3043.46,United Kingdom,GBR,21840184,United Kingdom,GBR,444.5889516,1.8371742048351627,104025085881.45831,7159.867370311415,9.036701440117274e-08,1600.52022576
1847,2972.96,United Kingdom,GBR,22033306,United Kingdom,GBR,461.2864946,1.8746052739816286,104736410791.71277,7026.896430688776,9.104744019924727e-08,1660.63138056
1848,3002.6599,United Kingdom,GBR,22228262,United Kingdom,GBR,477.78160599999995,1.9127989735491702,105457530779.08362,7197.425175603886,9.17278659973218e-08,1720.0137816
1849,2990.5,United Kingdom,GBR,22425120,United Kingdom,GBR,493.77983969999997,1.9517708415700543,106188649566.2879,7240.930588298797,9.240829179539635e-08,1777.6074229199999
1850,2913.6399,United Kingdom,GBR,22623572,United Kingdom,GBR,508.3334476,1.9915367326524518,106929976564.98033,7083.87830802402,9.308871759347062e-08,1830.00041136
1851,3004.3899,United Kingdom,GBR,22824472,United Kingdom,GBR,522.8839883999999,2.0321128244304782,107681727075.72804,7445.816263696869,9.376914339154516e-08,1882.3823582399998
1852,3059.3799,United Kingdom,GBR,23028186,United Kingdom,GBR,537.4375963,2.0735156241456543,108444122496.48058,7696.812271600894,9.44495691896197e-08,1934.77534668
1853,3135.8501,United Kingdom,GBR,23232528,United Kingdom,GBR,552.4175375,2.1157619753623247,109217390539.95882,8011.967825117612,9.512999498769399e-08,1988.703135
1854,3232.5801,United Kingdom,GBR,23439084,United Kingdom,GBR,567.8790207000001,2.1588690648200326,110001765460.41136,8385.970209854242,9.581042078576852e-08,2044.3644745200004
1855,3159.5901,United Kingdom,GBR,23647216,United Kingdom,GBR,583.3405038,2.202854429425506,110797488290.21274,8251.899998886445,9.649084658384305e-08,2100.02581368
1856,3264.9299,United Kingdom,GBR,23857026,United Kingdom,GBR,598.801987,2.247735963386965,111604807086.80524,8652.616879800482,9.71712723819176e-08,2155.6871532000005
1857,3261.4099,United Kingdom,GBR,24069022,United Kingdom,GBR,616.2724508,2.29353192549392,112423977190.51604,8728.047438860602,9.785169817999187e-08,2218.58082288
1858,3213.96,United Kingdom,GBR,24292422,United Kingdom,GBR,633.942279,2.3402609465452975,113255261493.81241,8675.426341300077,9.853212397806641e-08,2282.1922044
1859,3299.71,United Kingdom,GBR,24531412,United Kingdom,GBR,651.6151745,2.3879420369287603,114098930722.59138,9028.14150527851,9.921254977614094e-08,2345.8146282
1860,3347.1899,United Kingdom,GBR,24783522,United Kingdom,GBR,669.5395758999999,2.436594594354594,114955263730.13638,9269.885035968193,9.989297557421524e-08,2410.34247324
1861,3371.6799,United Kingdom,GBR,25048936,United Kingdom,GBR,687.5314545,2.4862384117471716,115824547804.4108,9448.025000811635,1.0057340137228977e-07,2475.1132362
1862,3302.77,United Kingdom,GBR,25323118,United Kingdom,GBR,699.3307652999999,2.536893685297052,116707078989.40059,9350.969108680994,1.0125382717036431e-07,2517.59075508
1863,3439.75,United Kingdom,GBR,25601036,United Kingdom,GBR,699.3307652999999,2.5885810226772725,117603162421.26038,9866.636062683392,1.0193425296843858e-07,2517.59075508
1864,3445.8201,United Kingdom,GBR,25882516,United Kingdom,GBR,738.2252441,2.6413214514270633,118513112680.065,9994.821253268514,1.0261467876651313e-07,2657.61087876
1865,3564.3501,United Kingdom,GBR,26167428,United Kingdom,GBR,762.774681,2.6951364275062,119437254158.01862,10450.195144773159,1.0329510456458766e-07,2745.9888516
1866,3569.1299,United Kingdom,GBR,26455324,United Kingdom,GBR,780.5058522,2.7500478440238076,120375921445.02634,10576.024197036428,1.0397553036266219e-07,2809.82106792
1867,3543.3101,United Kingdom,GBR,26746068,United Kingdom,GBR,777.2700131,2.806078040145019,121329459732.59132,10613.690100096046,1.0465595616073649e-07,2798.17204716
1868,3639.0801,United Kingdom,GBR,27042186,United Kingdom,GBR,805.5429652,2.8632498101789188,122298225237.06177,11002.28427233101,1.0533638195881102e-07,2899.95467472
1869,3683.75,United Kingdom,GBR,27344392,United Kingdom,GBR,842.4560677000001,2.921586412851822,123282585643.31757,11244.298087445002,1.0601680775688556e-07,3032.8418437200003
1870,3927.1799,United Kingdom,GBR,27651628,United Kingdom,GBR,885.055659,2.981111580769496,124282920570.05798,12031.786391278963,1.0669723355495984e-07,3186.2003724
1871,4104.1299,United Kingdom,GBR,27963428,United Kingdom,GBR,930.4095473,3.0418495300719606,125299622057.92714,12616.923288164508,1.0737765935303439e-07,3349.47437028
1872,4065.4199,United Kingdom,GBR,28277128,United Kingdom,GBR,953.2720539,3.1038249702853102,126333095081.79591,12634.759455999736,1.0805808515110892e-07,3431.7793940399997
1873,4038.55,United Kingdom,GBR,28576348,United Kingdom,GBR,950.9256872000001,3.167063114373938,127383758088.60638,12676.146491376185,1.0873851094918345e-07,3423.33247392
1874,4152.9902,United Kingdom,GBR,28895644,United Kingdom,GBR,978.5576058,3.23158968899779,128452043562.27988,13092.103361123882,1.0941893674725773e-07,3522.80738088
1875,4131.02,United Kingdom,GBR,29216496,United Kingdom,GBR,975.3125652999998,3.297430944978595,129538398617.29027,13153.353933266897,1.1009936254533227e-07,3511.1252350799996
1876,4089.48,United Kingdom,GBR,29539436,United Kingdom,GBR,978.4042485,3.3646136679791425,130643285622.6144,13162.815596827204,1.1077978834340681e-07,3522.2552946
1877,4067.54,United Kingdom,GBR,29858848,United Kingdom,GBR,990.829257,3.4331651894003383,131767182857.88885,13220.225960961401,1.1146021414148108e-07,3566.9853252
1878,4010.6399,United Kingdom,GBR,30187748,United Kingdom,GBR,1019.114478,3.503113397500296,132910585203.72914,13186.766644621679,1.1214063993955563e-07,3668.8121208
1879,3880.03,United Kingdom,GBR,30518168,United Kingdom,GBR,1077.4086550000002,3.57448674873974,134074004868.30493,12949.685046930488,1.1282106573763016e-07,3878.6711580000006
1880,4115.9902,United Kingdom,GBR,30849956,United Kingdom,GBR,1120.437647,3.6473142793587874,135257972152.41214,13696.312884023102,1.1350149153570446e-07,4033.5755292
1881,4168.96,United Kingdom,GBR,31198494,United Kingdom,GBR,1148.710599,3.721625617189606,136463036255.44301,13953.86546515798,1.14181917333779e-07,4135.358156400001
1882,4183.0898,United Kingdom,GBR,31537202,United Kingdom,GBR,1153.072081,3.7974509937095116,137689766124.82755,14106.041181901943,1.1486234313185353e-07,4151.0594916
1883,4273.0,United Kingdom,GBR,31874764,United Kingdom,GBR,1137.748619,3.874821256339865,138938751351.7068,14448.710799638813,1.1554276892992807e-07,4095.8950284
1884,4178.8398,United Kingdom,GBR,32216786,United Kingdom,GBR,1127.145495,3.9537678809955645,140210603115.8001,14324.023311212512,1.1622319472800234e-07,4057.723782
1885,4089.0901,United Kingdom,GBR,32548676,United Kingdom,GBR,1143.4105710000001,4.034322984889971,141505955182.64847,14200.947922244484,1.1605362510625781e-07,4116.278055600001
1886,4057.8101,United Kingdom,GBR,32879150,United Kingdom,GBR,1174.744535,4.116519339600977,142825464956.6516,14226.962157550062,1.1522221335970753e-07,4229.080326
1887,4188.4102,United Kingdom,GBR,33198284,United Kingdom,GBR,1206.081566,4.200390384403282,144169814593.5761,14670.952841154958,1.1439080161315724e-07,4341.8936376
1888,4283.0,United Kingdom,GBR,33530088,United Kingdom,GBR,1237.292844,4.285970239872055,145539712176.4892,15017.679170147829,1.1355938986660697e-07,4454.254238400001
1889,4375.5298,United Kingdom,GBR,33869468,United Kingdom,GBR,1268.218877,4.373293721764011,146935892959.3783,15355.281177535076,1.1272797812005692e-07,4565.5879572
1890,4375.8701,United Kingdom,GBR,34215580,United Kingdom,GBR,1270.132776,4.462396355181314,148359120683.04456,15465.204705276316,1.1189656637350664e-07,4572.4779935999995
1891,4460.6499,United Kingdom,GBR,34568464,United Kingdom,GBR,1198.573192,4.553314389023792,149810188968.21973,15780.91732439264,1.1106515462695636e-07,4314.863491200001
1892,4299.1899,United Kingdom,GBR,34928204,United Kingdom,GBR,1220.05855,4.646084810735859,151289922791.24496,15496.685593301736,1.1023374288040606e-07,4392.21078
