Year,GDP per capita,Entity,Code,Population,Entity_y,Code_y,Primary energy (TWh),Energy(PJ)-Time(Year),GDP(2011$)-Time(year),Energy(PJ)-GDP(10e12$),EI(PJ/$)-Time(year),Primary energy (PJ)
1880,2796.0,Italy,ITA,29621532,Italy,ITA,145.82712980000002,540.1609848833743,81942323526.75868,587.946926049529,225261611.65080652,524.9776672800001
1881,2880.0,Italy,ITA,29797208,Italy,ITA,149.0196158,544.7331207564296,82793311849.69957,593.6697056213652,224492157.89121166,536.47061688
1882,2915.0,Italy,ITA,29994392,Italy,ITA,152.21210180000003,549.3833180995109,83662161048.25587,596.8171733629273,223722704.1316171,547.9635664800002
1883,2942.0,Italy,ITA,30198836,Italy,ITA,155.4045878,554.1135932765402,84549439392.52525,599.5950638400569,222953250.37202257,559.45651608
1884,2898.0,Italy,ITA,30391784,Italy,ITA,157.1001283,558.9260326993814,85455739518.14888,598.076601447075,222183796.61242804,565.56046188
1885,2941.0,Italy,ITA,30594500,Italy,ITA,158.64945680000002,563.822795896298,86381679746.35365,601.8476306658544,221414342.85283318,571.1380444800001
1886,3005.0,Italy,ITA,30799208,Italy,ITA,161.0069805,568.8061187431343,87327905490.75293,607.0331776913393,220644889.09323862,579.6251298
1887,3081.0,Italy,ITA,31018274,Italy,ITA,165.5876164,573.8783168673747,88295090757.63205,613.2376262807331,219875435.3336441,596.11541904
1888,3065.0,Italy,ITA,31236530,Italy,ITA,170.1682524,579.0417892359724,89283939747.04712,613.5970293109892,219105981.57404956,612.60570864
1889,2971.0,Italy,ITA,31454328,Italy,ITA,174.7486006,584.2990219386256,90295188562.73038,608.8687713532154,218336527.8144547,629.09496216
1890,2974.0,Italy,ITA,31665124,Italy,ITA,172.8749003,589.6525921790364,91329607039.52695,610.3499962583904,217567074.05486014,622.3496410800001
1891,3014.0,Italy,ITA,31866466,Italy,ITA,168.08617130000002,595.1051724876148,92388000697.89787,614.2341812786569,216797620.29526561,605.1102166800001
1892,3017.0,Italy,ITA,32067984,Italy,ITA,167.9796784,600.6595351700973,93471212835.91745,615.7066519713248,216028166.53567106,604.7268422400001
