En/CapIndia,gdp/CapIndia,"Model,India",En/CapBrazil,gdp/CapBrazil,"Model,Brazil",En/CapIndonesia,gdp/CapIndonesia,"Model,Indonesia",En/CapMexico,gdp/CapMexico,"Model,Mexico",En/CapChina,gdp/CapChina,"Model,China"
5.574022487095295e-06,1.43,5.747512170519346,2.5642142963736755e-05,6.582,26.80753929042711,4.3966881183951765e-06,2.386,4.785425680673229,3.5803778016373646e-05,8.011,38.75147720950192,1.4274323915067705e-05,1.594,13.035124795595719
5.712862174919946e-06,1.417,5.675716253827248,2.750031969833593e-05,7.079,29.949955093910923,4.508552106115685e-06,2.536,5.35110089577795,3.70778485353189e-05,8.131,39.65487579627704,1.4767261723839982e-05,1.519,12.539055143487863
5.904801218690685e-06,1.494,6.0985244800525615,2.869993328885924e-05,7.248,30.98958447661979,5.815705357012777e-06,2.67,5.89497052120865,3.809180213138222e-05,8.177,39.99825781316699,1.5848146264256405e-05,1.583,12.962172511712668
5.9906747689863775e-06,1.54,6.348318467044041,3.088946412904683e-05,7.425,32.05820013166254,6.291769424414388e-06,2.727,6.136307076068055,4.1839596867974266e-05,8.69,43.70671587394777,1.7123388726644185e-05,1.744,14.036663298303136
6.183358810142285e-06,1.427,5.730958808602974,3.26597431242471e-05,7.736,33.88021099482947,7.012163044233039e-06,2.81,6.497419565157106,4.511993829774364e-05,9.307,47.8287368551776,1.738840373948814e-05,1.859,14.813055285444308
6.224545356570344e-06,1.495,6.103976917670469,3.254439491606874e-05,8.249,36.71785198715784,7.3249579512777385e-06,2.981,7.273267887943683,4.79871961747908e-05,9.929,51.54796507349352,1.7481094963002015e-05,1.93,15.296120203312226
6.735925184813486e-06,1.557,6.440108329543583,3.0989045884923524e-05,7.709,33.72498287434221,7.77454318991904e-06,3.119,7.925114915508946,5.174341286307054e-05,10.538,54.71793935054198,1.700905555092011e-05,1.962,15.51477358390726
6.524030755773373e-06,1.57,6.510109944353479,3.177322012996253e-05,7.587,33.0164833553706,7.74479633322112e-06,2.941,7.088308584494741,5.269514628688836e-05,10.24,53.22725928312121,1.7520066209666562e-05,2.128,16.658395040546758
6.7071448444844784e-06,1.663,7.006098788827748,3.1663058038300794e-05,7.203,30.7145182236691,8.028454481881638e-06,2.994,7.333794002751561,5.094092340700602e-05,9.656,49.97308606898501,1.838634656996225e-05,2.227,17.347938950474212
6.999970830677214e-06,1.69,7.148530034297887,3.324142494561277e-05,7.438,32.13581503273273,8.506669217056682e-06,3.134,7.9971023384379984,5.2122216991916934e-05,9.777,50.682498269738225,1.9434447876240978e-05,2.444,18.87911596507059
7.227487888214596e-06,1.72,7.30596631926048,3.4640492629773644e-05,7.862,34.59694730132406,8.853845874095355e-06,3.143,8.040389853589408,5.350057776081492e-05,9.785,50.7287670265955,2.067938679684814e-05,2.619,20.133814583094424
