En/CapFrance;GDP/CapFrance;ModelFrance;En/CapItaly;GDP/CapItaly;ModelItaly;En/CapNetherlands;GDP/CapNetherlands;ModelNetherlands;En/CapSpain;GDP/CapSpain;ModelSpain;En/CapUnited States;GDP/CapUnited States;ModelUnited States
3.29E-09;0.3566;32.62662948;2.59E-09;0.4693;26.1291881;4.89E-09;0.4414;44.25856534;1.97E-09;0.3076;19.41050093;3.12E-08;5.027575;303.7299166
3.37E-09;0.3585;32.77090821;2.66E-09;0.4889;27.29739121;4.84E-09;0.4503;45.15004166;2.01E-09;0.3014;19.04911565;2.94E-08;4.845293;308.908526
3.44E-09;0.3617;33.01390557;2.46E-09;0.4631;25.75961386;4.79E-09;0.4337;43.48765036;1.96E-09;0.2979;18.84514844;3.01E-08;4.926692;306.6191774
3.52E-09;0.3701;33.65197593;2.26E-09;0.4538;25.20523555;5.02E-09;0.4584;45.96173713;1.91E-09;0.3024;19.1073963;2.96E-08;4.9675;305.4566623
3.75E-09;0.3787;34.30543979;2.14E-09;0.4602;25.5867391;5.28E-09;0.4595;46.07199652;1.89E-09;0.3244;20.39006426;2.86E-08;5.0394;303.3880899
3.75E-09;0.3877;34.98952085;2.29E-09;0.4514;25.06216716;5.31E-09;0.4651;46.63338841;1.88E-09;0.3322;20.84500369;2.91E-08;5.0863;302.0267767
3.74E-09;0.3974;35.72702934;2.44E-09;0.4466;24.7760434;5.31E-09;0.4637;46.49302492;2.04E-09;0.3427;21.45752981;2.92E-08;5.1664;299.6841624
3.79E-09;0.4041;36.23654214;2.44E-09;0.467;25.99209034;5.32E-09;0.4414;44.25856534;2.16E-09;0.3433;21.49254774;2.87E-08;5.2591;296.9521643
3.91E-09;0.4186;37.33951139;2.17E-09;0.4471;24.80585178;5.40E-09;0.4666;46.78378325;2.26E-09;0.3518;21.98850702;2.85E-08;5.3015;295.6973747
3.82E-09;0.4095;36.64726342;2.50E-09;0.4879;27.23779101;5.49E-09;0.4694;47.06455871;2.06E-09;0.3725;23.19653715;2.84E-08;5.400777;292.752182
3.93E-09;0.428;38.05469646;2.50E-09;0.4981;27.84560951;5.58E-09;0.4758;47.70644838;2.05E-09;0.365;22.75880453;2.92E-08;5.533474;288.8128397
4.09E-09;0.4207;37.4992644;2.50E-09;0.5246;29.42407351;5.64E-09;0.5053;50.66715237;2.12E-09;0.3959;24.56235658;;;
4.24E-09;0.4399;38.9602157;2.63E-09;0.5099;28.54861277;5.49E-09;0.5085;50.98849044;2.16E-09;0.3907;24.25883098;;;
4.39E-09;0.464;40.79430261;2.52E-09;0.4967;27.76218583;5.34E-09;0.5137;51.51071024;2.17E-09;0.4173;25.81143508;;;
4.44E-09;0.4584;40.3681101;2.49E-09;0.4661;25.9384389;5.45E-09;0.5157;51.71157928;2.17E-09;0.3923;24.3522225;;;
