En/CapFrance,GDP/CapFrance,ModelFrance
1.4706594238683126e-08,2.43,155.92953354200316
1.5112245246975347e-08,2.4519,156.58650097290985
1.552493566193105e-08,2.4755,157.27742995782089
1.5819247096948417e-08,2.5238,158.63673301343536
1.601740821662667e-08,2.5756,160.01352718408373
1.6139707087624275e-08,2.6763,162.454046987694
1.6283164314587617e-08,2.7576,164.20194241901098
1.6699541532108632e-08,2.8129,165.28007291885382
1.7674099869979267e-08,2.8294259999999998,165.5851563083584
1.7735639666124208e-08,2.86198,166.1633955800069
1.7663933066062403e-08,2.833616,165.66126668779762
1.736434403598034e-08,2.8907979999999998,166.65034535779495
1.7715292204421992e-08,2.9418860000000002,167.45690130111115
1.8315561607943183e-08,2.973664,167.92256789621078
1.8001446900602874e-08,3.0341810000000002,168.7344618585481
1.8353341318184927e-08,3.132308,169.8479259435025
1.8584503270645954e-08,3.2284610000000002,170.70490198050024
1.8723836990595612e-08,3.340968,171.42819539944767
1.882796847635727e-08,3.39201,171.6614793528116
1.851119843486113e-08,3.4152769999999997,171.74884527817346
1.8565148376817365e-08,3.429203,171.79554985915686
1.85792750996738e-08,3.509382,171.98490854584455
1.8349291884816752e-08,3.549546,172.030169765147
1.8080862312832267e-08,3.6166160000000005,172.03475447630575
1.7657467875672793e-08,3.684569,171.95216352400496
1.7609601183108554e-08,3.6761790000000003,171.9669817358437
1.654000927361975e-08,3.553493,172.03287462123825
1.6939528625954198e-08,3.6086730000000005,172.03875070463152
1.6195473094808767e-08,3.6691,171.97848540699815
1.6086009061733057e-08,3.6571,171.99587585789192
1.6140354962907317e-08,3.6632,171.98736811475783
1.5376734274231235e-08,3.6527,172.00158555752066
1.5396391168758636e-08,3.6827,171.95557552290518
1.5095049174243832e-08,3.7124,171.8938845383801
1.4959395462887285e-08,3.7895,171.66106542504437
1.518864765890662e-08,3.8515919999999997,171.40023074129132
