En/CapItaly,GDP/CapItaly,ModelItaly
2.2036478133127437e-09,0.3826,20.962896849288086
2.203445870756552e-09,0.3829,20.980755223584314
2.2062100291237145e-09,0.387,21.224851297405014
2.2715081771655927e-09,0.3875,21.254621687007212
2.330172894859142e-09,0.4057,22.338590163287353
2.2382077788204366e-09,0.3835,21.016472534463574
2.220622799194539e-09,0.3642,19.867902496725275
2.180746398071788e-09,0.3942,21.65359727036083
2.003730515068436e-09,0.3955,21.731023039351
2.13824915286331e-09,0.3856,21.14149457854473
2.0517634585455535e-09,0.3701,20.218928020030674
1.998832268315456e-09,0.3789,20.742644283667534
2.123788145388479e-09,0.366,19.97498378009944
2.2424686706006755e-09,0.3928,21.570227228085447
2.3577974927161047e-09,0.4248,23.476681515494747
2.4717593990018014e-09,0.4324,23.929636359942233
2.4632961260275775e-09,0.458,25.45559946173858
2.641862095828829e-09,0.4576,25.43175479666181
2.7440261983072097e-09,0.4454,24.70451594548335
2.589530182503026e-09,0.4693,26.129188102786635
2.664998418822733e-09,0.4889,27.297391210089827
2.4608006234814604e-09,0.4631,25.759613856389578
2.259439448333865e-09,0.4538,25.20523555176247
2.1388555389183954e-09,0.4602,25.58673910154586
2.2898624634058744e-09,0.4514,25.062167159991816
2.437855616794756e-09,0.4466,24.776043404613873
2.4373689236987426e-09,0.467,25.992090339327987
2.173642532167431e-09,0.4471,24.805851775796448
2.5024988701375987e-09,0.4879,27.23779100695259
2.4978894400088727e-09,0.4981,27.84560950623569
2.4995532698163403e-09,0.5246,29.424073509187554
2.627765324604861e-09,0.5099,28.548612770649697
2.5198511170686524e-09,0.4967,27.76218583437016
2.4852398514339502e-09,0.4661,25.938438900516136
1.8065112602575078e-09,0.3931,21.588091541034256
1.3589803929087145e-09,0.3162,17.016137733438946
1.342825372440601e-09,0.2831,15.054893291665653
1.83017500761822e-09,0.3805,20.83788228179256
2.247475428981396e-09,0.4498,24.96679409386467
2.2647128488711286e-09,0.4814,26.850411890313424
2.3849884516170574e-09,0.5188,29.078697156310614
2.5065238138157473e-09,0.5582,31.42333006204791
2.729632963114231e-09,0.5958,33.65652803574766
2.7471107040577335e-09,0.6371,36.102776570021675
2.9787925805140664e-09,0.679,38.5753435165254
3.209273810076794e-09,0.7092,40.35056582426641
3.2882874779046667e-09,0.7453,42.46375116322422
3.335528061894278e-09,0.7745,44.16517134083905
3.67983848120855e-09,0.8158,46.558142811986635
3.552918791692119e-09,0.8544,48.77890995510974
3.969250211954321e-09,0.9011,51.443097762510725
4.3879455373038225e-09,0.943,53.81032988511969
4.813966903140734e-09,1.0158,57.865757854338206
5.23009700796955e-09,1.0882,61.81850596517153
5.637178140396414e-09,1.1576,65.52422362230537
6.03733374969282e-09,1.1934,67.401559131849
6.411952706232948e-09,1.2111,68.32072956751702
6.913205923592571e-09,1.2659,71.12733940065758
7.4404783247191645e-09,1.3476,75.19641237526038
7.98921109953594e-09,1.4513,80.14969830140525
8.546788072617814e-09,1.5248,83.50888079927435
9.376278331059998e-09,1.5492,84.5951984759823
9.80851528141179e-09,1.5683,85.43532237479725
1.021696308446525e-08,1.6035,86.95985586004393
1.05998147164906e-08,1.695,90.77585303147235
1.0529760908329997e-08,1.7607,93.38224569248298
1.024666244458518e-08,1.7123,91.47309694741833
1.0766533184486299e-08,1.8147,95.43930370561611
1.0741873857076267e-08,1.8599,97.10141910533834
1.0971953062208646e-08,1.923,99.33000633807553
1.1278929830182636e-08,2.0275,102.78408294611917
1.0955828142469255e-08,2.0959,104.88467248146067
1.0698769312450226e-08,2.1041,105.1279881154675
1.0459466501897783e-08,2.1123,105.36949094126147
1.0217651722011803e-08,2.1345,106.01418227073748
1.0358222394175474e-08,2.1868,107.48042560550213
1.0304218346593604e-08,2.2469,109.074654878646
1.0576661519022883e-08,2.3106,110.6593230315328
1.0892892225652544e-08,2.3824,112.31730352624213
1.1159027675470903e-08,2.4743,114.2443740552974
1.1477560539374705e-08,2.5454,115.58797615238583
1.15246508203618e-08,2.6003,116.53935973749142
