En/CapNetherlands,GDP/CapNetherlands,ModelNetherlands
7.0035068601930276e-09,0.7803,78.2382331598748
7.26553956061934e-09,0.8019,80.38660933120022
7.577171738418854e-09,0.8541,85.55866239866744
7.944491303805915e-09,0.8773,87.84716121133538
8.322196196565691e-09,0.9118,91.23721302456345
8.74809232071949e-09,0.9068,90.74692844104956
8.523337615155595e-09,0.8931,89.40172863529332
8.253433515564203e-09,0.8265,82.82773008083957
8.00717185929054e-09,0.8026,80.45615943113081
7.86010019708225e-09,0.79,79.20355458460683
7.84808101113482e-09,0.7659,76.80361356916492
7.903322691866209e-09,0.7857,78.77573122179439
8.166789347234298e-09,0.8273,82.90701312661176
8.427260082999561e-09,0.866,86.73334535560178
8.57315334886841e-09,0.8368,83.84790082479233
8.595576266709948e-09,0.8837,88.47725478037609
6.78063749341614e-09,0.7701,77.22223217056033
6.500399019978965e-09,0.7222,72.4398893113873
6.23379541654289e-09,0.6546,65.66637141489794
5.70658669782049e-09,0.6346,63.65860469044196
4.571188472659655e-09,0.4222,42.33694253999043
3.931507500300477e-09,0.4281,42.927203861698985
6.934341992775994e-09,0.7104,71.25930591118284
8.012398741494141e-09,0.8046,80.65483705521288
8.525685617501056e-09,0.8751,87.63044133317815
8.46343397466942e-09,0.9373,93.73197130759426
8.344680291575384e-09,0.9558,95.53565286858363
8.826825954760034e-09,0.9615,96.09026873529926
8.788979676053603e-09,0.9698,96.89693161230495
8.572562006134971e-09,1.0429,103.94911593647188
8.798606742857143e-09,1.101,109.48050442345372
9.017140961344537e-09,1.1678,115.7493179196363
9.934029912274235e-09,1.1953,118.29944745148184
9.834468925343277e-09,1.2137,119.99521473272397
9.579670963029434e-09,1.1926,118.04990033175343
9.831132943426295e-09,1.2333,121.79201801729802
9.968823988121235e-09,1.3209,129.6959154924818
9.936577653282785e-09,1.3074,128.49184979840308
1.0981238825868951e-08,1.377,134.6420235503734
1.1752255496981893e-08,1.4078,137.31682759983997
1.1920791915956654e-08,1.5042,145.49179724096746
1.2167341606792947e-08,1.5618,150.2270500096058
1.2868113511770398e-08,1.5838,152.00494812685912
1.34401529027634e-08,1.6483,157.11664289415893
1.4856466514519558e-08,1.7365,163.85557262639665
1.6376233372228703e-08,1.827,170.45736273668427
1.826790955237656e-08,1.9075,176.05465571551403
1.9049990873136605e-08,1.9636,179.7987947327612
2.188706289497442e-08,2.0079,182.66319757502916
2.3040857717221358e-08,2.0851,187.45837425789637
2.165420439463206e-08,2.1514,191.37547156468383
2.1635097566323174e-08,2.1318,190.2368982850384
2.3407464655984922e-08,2.2132,194.85838664519483
2.2821870006478084e-08,2.2598,197.37699534767268
2.3129098970251716e-08,2.2992,199.43419087317326
2.3751095315942852e-08,2.3347,201.2310906303131
2.217610687022901e-08,2.3438,201.6830622681304
2.091644544431946e-08,2.3153,200.25577904739473
1.92421573976915e-08,2.278,198.33549182000743
1.9240690567351202e-08,2.3086,199.91521837932436
1.9876074248510873e-08,2.375,203.2059681424435
2.0399330301777592e-08,2.4361,206.06874537292202
2.128920526171554e-08,2.4893,208.4330716008138
2.1598798610638157e-08,2.5085,209.25718427561526
2.153571950724246e-08,2.5574,211.28662755190726
2.1495769722240902e-08,2.6612,215.26713906566812
2.1896443701971268e-08,2.7515,218.37394057877086
2.2164434118818455e-08,2.812678,220.29443522315526
2.227819860213636e-08,2.855573,221.55376115154283
2.2313162169242862e-08,2.888,222.45869320623947
2.192753464766738e-08,2.972756,224.63584580271947
2.2674041892940265e-08,3.068035,226.76639370673013
2.35071001734884e-08,3.181174,228.876709539525
2.2949833280102205e-08,3.3199629999999996,230.87306054342557
2.2975457894068335e-08,3.4688550000000005,232.3330356305137
2.2566494064157618e-08,3.640908,233.20822510842586
2.2730588974004775e-08,3.789995,233.32255656158264
2.3466570108627793e-08,3.8636220000000003,233.17556818977872
2.333705027932961e-08,3.8653120000000003,233.1706863855901
2.336300228380964e-08,3.8803959999999997,233.12421531564655
2.4016820777307056e-08,3.968238,232.75124523048424
2.4392567972139058e-08,4.067949,232.1258332543498
2.3785313868613145e-08,4.228651,230.70183725444213
2.4089467498636945e-08,4.400875,228.66474731783646
2.3698638338966684e-08,4.484071,227.51141818860455
2.327389390111873e-08,4.317851,229.70849013174922
2.4548448120841575e-08,4.381235,228.92160310999526
2.3418948500418214e-08,4.4591,227.86843511755265
2.2579344926155314e-08,4.3957,228.73301021781077
2.18379411066255e-08,4.3744,229.00956868569813
2.0565966968566862e-08,4.4205,228.40210613144654
2.0761976620616372e-08,4.4869,227.47039949882037
2.1076186325893646e-08,4.56,226.371256305293
2.0744024440397157e-08,4.665076,224.6659313512681
2.066885345838218e-08,4.7474110000000005,223.23431052046712
