En/CapSpain,GDP/CapSpain,ModelSpain
1.8498244191544605e-09,0.2828,17.965404735447894
1.8541727517310052e-09,0.2917,18.483868086799866
1.8654107848329262e-09,0.2978,18.8393078436573
1.919633158567631e-09,0.2823,17.9362956173108
1.9730657725303476e-09,0.3027,19.124876418749686
1.9736539382693457e-09,0.2915,18.472211614493293
1.9078926917080695e-09,0.3067,19.358030823639012
1.8429178339511685e-09,0.2962,18.746071751285758
1.916251483289793e-09,0.2973,18.810171713571435
1.9738110193110626e-09,0.3076,19.41050093110401
2.011761666385138e-09,0.3014,19.04911565267737
1.9616001832340995e-09,0.2979,18.84514844253876
1.9053217494381284e-09,0.3024,19.10739629726379
1.891540194777281e-09,0.3244,20.390064260773045
1.883749861597016e-09,0.3322,20.845003694498768
2.041708949075838e-09,0.3427,21.457529810921393
2.159430356622633e-09,0.3433,21.49254773887608
2.2612862944376163e-09,0.3518,21.98850701775533
2.0594961831706016e-09,0.3725,23.196537150926467
2.0474436118268014e-09,0.365,22.75880452679327
2.12028016828474e-09,0.3959,24.562356576446273
2.1569165601595636e-09,0.3907,24.258830979156798
2.1697742453933226e-09,0.4173,25.811435083160784
2.170947795979077e-09,0.3923,24.352222495309505
2.1009080290711598e-09,0.3787,23.55840197161502
2.0315655864073274e-09,0.3856,23.961152286141864
1.963601796067631e-09,0.369,22.992257470469138
2.0494898843291614e-09,0.3783,23.535057925065498
2.048442236024039e-09,0.3806,23.669306320219217
2.0436458335141634e-09,0.2876,18.24500499801874
2.0387784756332392e-09,0.2654,16.952330446495132
2.0338100397104345e-09,0.2636,16.8475818948367
2.0287509218861037e-09,0.2885,18.29744123233359
1.9701880176395657e-09,0.317,19.95853217213361
1.909450422085729e-09,0.3191,20.080982100434852
1.8849459543150705e-09,0.3394,21.265015837059103
1.885821589535419e-09,0.3551,22.181060585828682
1.905043253989141e-09,0.3676,22.910542918707907
1.951351438471214e-09,0.3357,21.049172040139787
2.008761340428783e-09,0.3473,21.72592122499161
2.107215846261087e-09,0.3513,21.95932127617387
2.1846802719249284e-09,0.3478,21.755105124167347
2.181640116516334e-09,0.3435,21.504220465564337
2.270443023868899e-09,0.3464,21.673413016007757
2.4051844677533663e-09,0.379,23.57590726617704
2.4592968111553224e-09,0.4105,25.414547767466356
2.5107955527272735e-09,0.4066,25.18690922102656
2.5881732229856336e-09,0.4328,26.71602370075416
2.801635435968053e-09,0.4442,27.381219187475587
2.9552652356435637e-09,0.4769,29.28845535531676
2.9658651714053617e-09,0.49,30.0520573986679
2.9230178577035316e-09,0.5176,31.659725504142727
2.9702657220320964e-09,0.5085,31.129852700015704
3.1161013025458853e-09,0.5037,30.850281965775483
3.184109470484868e-09,0.5587,34.050121144325054
3.260612330297666e-09,0.6083,36.92731716779961
3.36721468762129e-09,0.6639,40.13988158016206
3.5223197419476596e-09,0.6945,41.90105719826103
3.7390792011447775e-09,0.742,44.62360643347166
